City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Katsuura,JP,79.63,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
2,Mount Holly,US,85.1,broken clouds,35.2982,-81.0159,"Holiday Inn Express & Suites Charlotte Arpt-Belmont, an IHG Hotel"
5,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Kankakee,US,81.82,clear sky,41.15,-87.8667,Fairfield Inn Kankakee Bourbonnais
8,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
12,Bongor,TD,76.41,overcast clouds,10.2806,15.3722,Oryx Palace
14,Touros,BR,75.11,clear sky,-5.1989,-35.4608,INN NEW HORIZON
19,Nakhon Phanom,TH,82.08,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
20,Atuona,PF,76.8,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
21,Jaicos,BR,81.14,scattered clouds,-7.3592,-41.1378,Hotel Jaicós
23,Altamira,BR,82.49,scattered clouds,-3.2033,-52.2064,Requinte Hotel
24,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
34,Niamey,NE,82.69,thunderstorm,13.5137,2.1098,Soluxe Hotel Niamey
37,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Umm Kaddadah,SD,78.78,overcast clouds,13.6017,26.6876,
50,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
52,Sao Filipe,CV,78.71,broken clouds,14.8961,-24.4956,Hotel Xaguate
59,Kavieng,PG,84.29,broken clouds,-2.5744,150.7967,Nusa Island Retreat
60,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
69,Dzilam Gonzalez,MX,84.09,broken clouds,21.2833,-88.9333,posadas
70,Katobu,ID,76.41,broken clouds,-4.9408,122.5276,La Ode Husein
73,Pombas,CV,78.58,scattered clouds,17.1503,-25.0201,Paul Paradis
76,Ribeira Grande,PT,75.61,light rain,38.5167,-28.7,Quinta da Meia Eira
83,San Patricio,US,89.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Marabba,SD,76.73,light rain,12.35,32.1833,
97,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
99,Cadillac,US,76.91,clear sky,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
102,Sorong,ID,78.13,broken clouds,-0.8833,131.25,Waigo Splash Hotel
109,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
111,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
112,Mapimi,MX,76.32,overcast clouds,25.8167,-103.85,Propiedad Lldm
113,San Ramon De La Nueva Oran,AR,75.42,few clouds,-23.1322,-64.326,Hotel Residencial Centro
114,Alofi,NU,82.29,clear sky,-19.0595,-169.9187,Taloa Heights
117,Kapaa,US,84.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
125,Padang,ID,76.96,overcast clouds,-0.9492,100.3543,Mercure Padang
130,Jabinyanah,TN,84.0,scattered clouds,35.035,10.9081,maison belmabrouk
131,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
132,Malangwa,NP,79.65,broken clouds,26.8568,85.5581,Prem Meat House
138,Algiers,DZ,79.14,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
139,Samarai,PG,81.27,scattered clouds,-10.6167,150.6667,Nuli Sapi
142,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
143,Lazaro Cardenas,MX,84.34,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
144,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
